image,label,path
1,Fantasy,./marvel_comics_posters/1.jpeg
2,Action,./marvel_comics_posters/2.jpeg
3,Action,./marvel_comics_posters/3.jpg
4,Adventure,./marvel_comics_posters/4.jpg
5,Action,./marvel_comics_posters/5.jpeg
6,Adventure,./marvel_comics_posters/6.jpg
7,Fantasy,./marvel_comics_posters/7.jpeg
8,Action,./marvel_comics_posters/8.jpg
9,Drama,./marvel_comics_posters/9.jpeg
10,Drama,./marvel_comics_posters/10.jpg
11,Drama,./marvel_comics_posters/11.jpg
12,Action,./marvel_comics_posters/12.jpg
13,Action,./marvel_comics_posters/13.jpg
14,Drama,./marvel_comics_posters/14.jpg
15,Action,./marvel_comics_posters/15.jpg
16,Drama,./marvel_comics_posters/16.jpg
17,Drama,./marvel_comics_posters/17.jpg
18,Action,./marvel_comics_posters/18.jpg
19,Fantasy,./marvel_comics_posters/19.jpg
20,SciFi,./marvel_comics_posters/20.jpg
21,Fantasy,./marvel_comics_posters/21.jpg
22,Fantasy,./marvel_comics_posters/22.jpg
23,Fantasy,./marvel_comics_posters/23.jpg
24,Fantasy,./marvel_comics_posters/24.jpg
25,Fantasy,./marvel_comics_posters/25.jpg
26,Action,./marvel_comics_posters/26.jpg
27,Action,./marvel_comics_posters/27.jpg
28,Action,./marvel_comics_posters/28.jpg
29,Action,./marvel_comics_posters/29.jpg
30,Action,./marvel_comics_posters/30.jpg
31,Fantasy,./marvel_comics_posters/31.jpg
32,Action,./marvel_comics_posters/32.jpg
33,Action,./marvel_comics_posters/33.jpg
34,Fantasy,./marvel_comics_posters/34.jpg
35,Adventure,./marvel_comics_posters/35.jpg
36,Adventure,./marvel_comics_posters/36.jpg
37,Fantasy,./marvel_comics_posters/37.jpg
